Bitcoin,Ethereum,Litecoin,Yuan,Euro,Pound,Gold,Oil,SP
-1.078688289,-1.046148844,-0.914500821,-0.020069425,0.490835743,-0.251720759,0.841815697,-1.456275637,-1.560275985
-1.078844161,-1.046018783,-0.913582297,-0.007835427,0.452292994,-0.475744388,0.914885394,-1.319756547,-1.510430801
-1.070657377,-1.047807128,-0.913057426,0.026909127,0.470430758,-0.562153503,1.192950623,-1.268282136,-1.502938852
-1.069794263,-1.048262343,-0.912270119,-0.04747358,0.307190878,-0.600557553,1.670005656,-1.198903582,-1.497209334
-1.066483722,-1.048132281,-0.91279499,-0.076835175,0.295854775,-0.533350465,1.590129467,-0.957197652,-1.510123076
-1.066935053,-1.04715682,-0.91279499,-0.002941828,0.363871392,-0.456542363,1.405153029,-1.153024215,-1.580019958
-1.071208746,-1.046896698,-0.914763256,-0.012239666,0.338931966,-0.44694135,1.221778119,-1.108263858,-1.605493445
-1.070573624,-1.04715682,-0.914632039,-0.016643905,0.352535289,-0.325328523,1.246801988,-1.261568082,-1.662037594
-1.070396814,-1.046896698,-0.914763256,-0.012729026,0.341199186,-0.270922785,1.059823641,-1.405920235,-1.702318524
-1.070596889,-1.044718168,-0.914894474,-0.055792699,0.320794201,-0.350931224,1.102864695,-1.380183029,-1.658335195
-1.07102263,-1.044360499,-0.914894474,-0.055792699,0.452292994,-0.002094429,0.957125684,-1.470822753,-1.679622105
-1.070634112,-1.038410188,-0.914763256,-0.04551614,0.450025773,-0.011695442,0.954723393,-1.437252485,-1.648198526
-1.070959815,-1.03811755,-0.913451079,-0.05040974,0.454560214,0.087515022,0.961329694,-1.380183029,-1.660582889
-1.072341728,-1.041369086,-0.914107168,-0.043558701,0.506706287,0.093915697,0.99636311,-1.214569707,-1.597516238
-1.073528219,-1.04260467,-0.914763256,-0.056771418,0.386543597,-0.066101181,1.32527684,-1.128406019,-1.531938279
-1.072430133,-1.042799762,-0.914500821,-0.065090537,0.375207495,0.151521774,1.369719231,-1.323113574,-1.559438886
-1.071257601,-1.042279516,-0.914500821,-0.068516056,0.379741936,0.109917385,1.379528588,-1.290662314,-1.615057704
-1.071643792,-1.042864793,-0.914632039,-0.04502678,0.391078039,0.026708609,1.159118352,-1.019862152,-1.565388978
-1.071590284,-1.042832277,-0.914632039,-0.04649486,0.363871392,0.07791401,1.123484363,-0.947126571,-1.564198957
-1.070913286,-1.043124916,-0.914632039,-0.053345899,0.445491332,0.106717048,1.129289901,-0.947126571,-1.552607579
-1.070252574,-1.042279516,-0.914632039,-0.064601177,0.348000848,0.343542027,0.972340196,-0.826273606,-1.600602106
-1.07037355,-1.042669701,-0.914500821,-0.064601177,0.472697979,0.532361943,0.862835747,-0.840820722,-1.595974377
-1.069964094,-1.043482585,-0.914763256,-0.064601177,0.382009156,0.596368694,0.094502882,-0.719967757,-1.602629226
-1.069961768,-1.043840254,-0.914632039,-0.064601177,0.463629096,0.75958591,-0.029415316,-0.642756141,-1.607124608
-1.069010249,-1.044880745,-0.914632039,-0.064601177,0.531645713,2.446163805,-0.243819823,-0.718848748,-1.594210871
-1.068216928,-1.046604059,-0.914632039,0.114015192,0.484034081,1.303643295,-0.116097997,-0.718848748,-1.577728149
-1.063387214,-1.047059274,-0.915025692,0.18203622,0.635937859,1.847700681,-0.169548981,-0.61142389,-1.613161851
-1.063559371,-1.047026759,-0.913188643,0.190355339,0.72209224,1.806096292,-0.228204929,-0.676326409,-1.684557559
-1.064143311,-1.04715682,-0.913844732,0.24124877,0.756100548,1.751690554,-0.168948408,-0.639399114,-1.716157596
-1.06357333,-1.047416943,-0.91397595,0.215802054,0.785574415,1.671682115,-0.217594809,-0.652827221,-1.667678885
-1.063329053,-1.044360499,-0.914369603,0.282355003,0.796910518,1.742089541,-0.265040064,-0.695349561,-1.727527325
-1.063698959,-1.045238414,-0.914763256,0.279418843,0.785574415,1.65248009,-0.17775681,-0.658422266,-1.688877559
-1.064134005,-1.046506513,-0.915288127,0.276482684,0.808246621,1.486062536,-0.094677566,-0.514070113,-1.670984252
-1.065750889,-1.046929213,-0.914894474,0.29654644,0.887599341,1.578872326,0.071280732,-0.657303257,-1.676537307
-1.065246049,-1.046831667,-0.913844732,0.403226902,0.996425927,1.671682115,-0.068852933,-0.623732989,-1.696590081
-1.059857986,-1.047481974,-0.91397595,0.448248014,0.996425927,1.639678739,-0.041426773,-0.671850373,-1.642998382
-1.05818992,-1.048359889,-0.91279499,0.485928728,1.010029251,1.854101356,-0.025411497,-0.753538025,-1.657762785
-1.054628122,-1.048750073,-0.912007684,0.439928896,0.96695206,1.694084478,0.154760358,-0.831868651,-1.682927471
-1.052566885,-1.048652527,-0.912663772,0.490822327,0.953348737,1.710086166,-0.00078801,-0.724443793,-1.676757881
-1.052136492,-1.049790565,-0.911351595,0.514311603,0.935210972,1.793294942,0.050260682,-0.835225677,-1.70500736
-1.04775113,-1.048522466,-0.912401337,0.445311855,0.846789371,1.726087853,0.189193201,-1.046718366,-1.737928684
-1.041432486,-1.049985657,-0.910695506,0.467333051,0.80371218,1.588473338,0.212615542,-1.065741518,-1.74586178
-1.0404135,-1.050083203,-0.911089159,0.406163062,0.635937859,1.569271313,0.49468459,-1.215688716,-1.832638412
-1.039264232,-1.050213264,-0.910433071,0.399312023,0.617800094,1.393252747,0.665247279,-1.289543305,-1.873184026
-1.048300172,-1.050115718,-0.914107168,0.391971624,0.574722904,1.082820004,0.657439832,-1.355564833,-1.888564959
-1.047413794,-1.050473387,-0.914238385,0.457545853,0.676747829,1.223634856,0.461853274,-1.264925109,-1.743437628
-1.046890342,-1.050570933,-0.914500821,0.503545685,0.708488917,1.27163992,0.325723429,-1.255973037,-1.67790271
-1.040594963,-1.05115621,-0.913582297,0.503545685,0.901202664,1.274840257,0.818593547,-1.229116823,-1.575524571
-1.044556911,-1.051481363,-0.914632039,0.574502872,0.987357045,1.226835194,0.336133358,-1.294019341,-1.52175749
-1.045650343,-1.051676456,-0.914894474,0.658183418,1.057640882,0.919602788,-0.16514478,-1.43165744,-1.593947257
-1.048451392,-1.053302224,-0.91397595,0.794714834,1.2911646,1.089220679,-0.956499604,-1.44284753,-1.569971516
-1.046255221,-1.052814493,-0.913188643,0.894054897,1.277561276,1.220434519,-0.826775869,-1.155262233,-1.528191765
-1.038836165,-1.052619401,-0.912401337,0.957182326,1.370517319,1.156427768,-0.761113237,-1.188832501,-1.535331873
-1.036965698,-1.05339977,-0.91279499,0.951310007,1.465740583,1.159628105,-0.80375391,-1.210093671,-1.49637223
-1.037610125,-1.0538875,-0.912926208,1.018352316,1.570032728,1.386852072,-1.133068022,-1.174285385,-1.488307867
-1.040206446,-1.054993022,-0.913582297,1.05309687,1.547360523,1.367650047,-1.072610355,-0.973982786,-1.449480572
-1.037379806,-1.053042101,-0.913188643,1.022756555,1.533757199,1.210833506,-0.957500559,-0.907961258,-1.422596491
-1.037756692,-1.054082592,-0.913188643,1.152436933,1.651652668,1.262038907,-1.046785722,-1.059027465,-1.422949407
-1.040222731,-1.054667869,-0.914107168,1.16662837,1.633514904,1.146826755,-1.697806691,-1.059027465,-1.384915096
-1.041069559,-1.056976459,-0.914107168,1.097139262,1.57683439,1.210833506,-1.446166667,-1.177642412,-1.394655813
-1.041195188,-1.058049466,-0.91397595,1.063373428,1.572299949,1.204432831,-1.475194355,-1.219045743,-1.397652379
-1.038761719,-1.057984436,-0.91397595,1.003182158,1.597239375,1.137225742,-1.513030444,-0.758014061,-1.381609729
-1.036353841,-1.058179528,-0.91397595,1.04918199,1.533757199,0.977208864,-1.883383701,-0.571139569,-1.432292017
-1.030998348,-1.058927381,-0.913451079,1.005628958,1.45440448,0.845995024,-1.828931763,-0.501761015,-1.452785938
-1.03281996,-1.061658671,-0.91397595,1.020309755,1.692462638,0.711580847,-1.798302548,-0.499522997,-1.402235993
-1.034646225,-1.061008364,-0.918831007,0.965501445,1.313836805,0.660375446,-1.870171099,-0.585686685,-1.387427478
-1.033268966,-1.058569712,-0.917387611,1.022756555,1.284362938,0.829993336,-1.940237931,-0.708777668,-1.260281686
-1.032533807,-1.057431674,-0.916469087,0.971373764,1.506550553,0.881198737,-1.787292045,-0.597995783,-1.215945445
-1.032573356,-1.058277074,-0.916731523,1.094692463,1.649385448,0.868397387,-1.951048242,-0.523022184,-1.180202938
-1.030854108,-1.058407135,-0.91686274,1.144607174,1.651652668,0.849195362,-2.184871271,-0.385384085,-1.161560759
-1.029332609,-1.058602227,-0.91686274,1.091266943,1.49748167,0.666776121,-2.07496644,-0.357408862,-1.102064159
-1.030828517,-1.058829835,-0.917256394,1.102522221,1.715134844,0.913202113,-2.103193364,-0.578972631,-1.10792602
-1.030968104,-1.059447627,-0.917125176,1.270372672,1.98493409,1.236436207,-2.500172017,-0.591281729,-1.125906483
-1.030130582,-1.060553149,-0.917125176,1.358457457,1.916917473,1.230035532,-2.70516755,-0.476023809,-1.143843905
-1.028134486,-1.06061818,-0.916469087,1.320287384,1.930520797,1.274840257,-2.541211162,-0.45364363,-1.146400399
-1.026336138,-1.061138426,-0.917256394,1.344266019,2.021209619,1.361249371,-2.575443814,-0.44357255,-1.12396759
-1.018672805,-1.060488118,-0.915419345,1.321755463,1.953193002,1.338847009,-2.621487733,-0.530855247,-1.129829455
-1.009018029,-1.06061818,-0.915944216,1.305606586,1.864771401,1.434857135,-2.692955902,-0.470428764,-1.165307268
-0.997539315,-1.06152861,-0.906758974,1.313436345,1.86250418,1.543668612,-2.704166595,-0.467071738,-1.162618432
-0.985720938,-1.061268487,-0.905578014,1.356500017,1.975865208,1.604475026,-2.480953686,-0.24326995,-1.129476534
-0.984911333,-1.058699774,-0.905578014,1.334968181,1.896512488,1.588473338,-2.362640835,-0.266769138,-1.203516963
-0.986509605,-1.05879732,-0.906102885,1.324691623,1.749143152,1.508464899,-2.111201002,-0.272364183,-1.207615318
-0.969863841,-1.054050077,-0.904397054,1.365308496,2.039347383,1.604475026,-2.227111562,-0.427906425,-1.162222475
-0.943030543,-1.050961118,-0.903084877,1.343776659,1.939589679,1.566070975,-2.119408831,-0.327195621,-1.12282169
-0.935660343,-1.048554981,-0.904397054,1.211649482,1.753677593,1.454059161,-1.855557159,-0.270126165,-1.128639435
-0.969228719,-1.05248934,-0.908858458,1.250798276,1.66072155,1.486062536,-1.761867795,-0.246626977,-1.081923155
-1.000198449,-1.051416333,-0.908464804,1.239542997,1.687928197,1.764491904,-1.817320688,-0.473785791,-1.111054928
-0.999923928,-1.05164394,-0.905053143,1.220947321,1.606308257,1.806096292,-1.629541577,-0.600233801,-1.094395748
-0.998858413,-1.051513879,-0.905184361,1.238564278,1.801289225,1.950111483,-1.552468061,-0.446929577,-1.111803801
-1.020540946,-1.053107131,-0.912007684,1.173479409,1.565498287,1.70368549,-1.360084559,-0.355170844,-1.127405304
-1.019901172,-1.054180138,-0.912401337,1.078054225,1.515619435,1.770892579,-1.432753873,-0.427906425,-1.096996358
-1.000926629,-1.052131671,-0.913451079,1.081969105,1.511084994,1.994916209,-1.154288262,-0.417835344,-1.126082941
-0.999312071,-1.052359278,-0.913713514,0.926352652,1.445335598,1.489262874,-1.03997923,-0.566663533,-1.126391741
-1.002310868,-1.052164186,-0.913844732,0.955224887,1.524688317,1.489262874,-1.275003405,-0.536450292,-1.116166841
-1.003522949,-1.051416333,-0.913713514,0.965990805,1.458938921,1.466860511,-1.190723015,-0.431263452,-1.104576538
-0.996806482,-1.05073351,-0.914763256,0.859799703,1.329707349,1.274840257,-0.996938176,-0.382027058,-1.127405304
-0.997764981,-1.051026148,-0.914894474,0.882799619,1.261690732,1.137225742,-0.994535885,-0.425668407,-1.070773999
-1.002627265,-1.051741486,-0.915550563,0.982139682,1.284362938,0.99641089,-1.186919387,-0.452524621,-1.005018507
-0.997981341,-1.051676456,-0.914500821,0.963054645,1.395456745,0.954806501,-1.61112401,-0.336147692,-1.007354427
-0.99802089,-1.051351302,-0.911876466,0.963054645,1.465740583,1.050816628,-1.452973159,-0.397693184,-1.064691564
-0.986628254,-1.051253756,-0.910695506,0.963054645,1.336509011,1.150027092,-1.336662218,-0.384265076,-1.095188737
-0.982652348,-1.051026148,-0.911876466,0.963054645,1.241285747,0.881198737,-1.118854464,-0.255579049,-1.050897683
-0.976973478,-1.050863572,-0.912138901,0.963054645,1.191406895,0.948405826,-1.035975411,-0.294744361,-1.073682333
-0.972239148,-1.050766026,-0.911876466,0.952778087,1.282095717,1.057217303,-1.03997923,-0.265650129,-1.010483336
-0.96973356,-1.04933535,-0.913188643,0.910203774,1.29343182,1.118023717,-0.849998019,-0.355170844,-1.019871137
-0.965711124,-1.048815104,-0.912926208,0.986054561,1.390922304,1.287641608,-0.659015853,-0.446929577,-1.005680228
-0.96174685,-1.048652527,-0.912926208,1.022756555,1.427197833,1.02201359,-0.643200768,-0.426787416,-1.021061157
-0.959415745,-1.049010196,-0.913319861,0.923905852,1.404525628,0.99641089,-0.503467485,-0.357408862,-0.954203876
-0.980372425,-1.049172773,-0.915419345,0.967948244,1.490680009,1.102022029,-0.824173386,-0.262293102,-0.918285991
-0.979630287,-1.049010196,-0.915812998,1.013948076,1.522421096,1.015612915,-0.710264736,-0.360765889,-0.863857188
-0.977441095,-1.040686264,-0.915288127,1.001224719,1.581368831,1.086020341,-0.765317247,-0.332790665,-0.837414255
-0.978062258,-1.041889332,-0.914763256,0.944458968,1.667523212,1.210833506,-0.790140925,-0.343980755,-0.776948209
-0.972355471,-1.043905284,-0.914107168,0.87643794,1.524688317,1.066818316,-0.630388547,-0.310410487,-0.776904094
-0.967749096,-1.044295469,-0.914238385,0.923416492,1.49748167,1.207633169,-0.556918469,-0.310410487,-0.777565815
-0.952841191,-1.044620622,-0.91515691,1.001714079,1.653919889,1.175629793,-0.62678511,-0.242150941,-0.709034331
-0.950947459,-1.04442553,-0.914763256,0.971863124,1.719669285,1.134025405,-0.594954749,-0.288030308,-0.71599798
-0.939029045,-1.043124916,-0.91397595,0.974799283,1.631247683,1.124424392,-0.577137754,-0.19067653,-0.702203024
-0.933499069,-1.043157431,-0.913844732,0.946905768,1.592704934,1.082820004,-0.307880927,-0.245507968,-0.706257263
-0.937782067,-1.03405313,-0.914369603,0.963054645,1.601773816,1.214033844,-0.184963684,-0.239912924,-0.687747426
-0.935160155,-1.031907116,-0.914369603,0.920969693,1.565498287,1.230035532,-0.255230707,-0.244388959,-0.704274259
-0.928355283,-1.028980734,-0.914369603,0.967948244,1.676592094,1.434857135,-0.421789578,-0.26453112,-0.558001028
-0.919135554,-1.02251018,-0.908071151,1.009543837,1.712867623,1.505264562,-0.388758071,-0.397693184,-0.585457519
-0.914906064,-1.017892999,-0.910957942,1.091756303,1.706065962,1.578872326,-0.670026355,-0.319362558,-0.633319699
-0.915908765,-1.020364166,-0.911745248,1.055543669,1.558696625,1.553269625,-0.636194085,-0.335028683,-0.655751433
-0.916013455,-1.021957419,-0.911482813,1.087841424,1.590437713,1.66528144,-0.804154291,-0.392098139,-0.671969465
-0.92610793,-1.024818768,-0.912926208,1.117692379,1.638049345,1.732488529,-0.988329965,-0.711015686,-0.680916119
-0.934180719,-1.02742,-0.913713514,1.163692211,1.65845433,1.735688866,-1.188520915,-0.831868651,-0.698588857
-0.917195293,-1.022380115,-0.912663772,1.159287971,1.560963846,1.735688866,-1.347872911,-0.910199276,-0.664301059
-0.924895849,-0.985442662,-0.896523989,1.124543417,1.395456745,1.697284815,-1.173306403,-0.921389366,-0.675055334
-0.923164969,-0.989214451,-0.907677498,1.163202851,1.504283332,1.799695617,-1.255384692,-1.000839,-0.700924777
-0.921582981,-0.971526091,-0.907808716,1.137756135,1.49748167,1.722887516,-1.274603023,-0.877748017,-0.606347392
-0.920101031,-0.935011344,-0.904921925,1.132373176,1.29343182,1.518065912,-0.833782552,-0.882224053,-0.614764671
-0.938205481,-0.907926042,-0.907152627,1.10692646,1.25035463,1.338847009,-0.78073195,-0.877748017,-0.625298376
-0.965455214,-0.938392945,-0.910695506,1.10790518,1.257156291,1.313244308,-0.653810888,-0.939293509,-0.652446066
-0.951636089,-0.943953068,-0.910695506,1.10839454,1.268492394,1.303643295,-0.705660344,-1.025457197,-0.641957552
-0.952050197,-0.946749389,-0.911220377,1.033033113,1.155131366,1.130825067,-0.39496399,-0.995243955,-0.774700516
-0.966623093,-0.942457365,-0.911351595,1.028139514,1.17100191,1.054016966,-0.383753297,-1.027695214,-0.743366244
-0.97070369,-0.91163279,-0.907808716,1.05211815,1.186872454,1.041215615,-0.444210964,-0.994124946,-0.755265348
-0.969324104,-0.9220052,-0.908333587,0.969905684,1.116588617,1.02201359,-0.198376478,-1.025457197,-0.805154652
-0.965078329,-0.91088494,-0.907283845,1.000245999,1.109786955,1.095621354,-0.241417532,-0.875509999,-0.721946997
-0.967293111,-0.911990462,-0.857158665,1.033522473,1.223147983,1.230035532,-0.321493912,-0.751300007,-0.723797658
-0.968651759,-0.916575128,-0.86266981,1.040373512,1.359181216,1.175629793,-0.303676917,-0.658422266,-0.692683956
-0.962689063,-0.918038323,-0.865294165,1.084415904,1.402258407,1.108422704,-0.464029868,-0.631566051,-0.692991681
-0.944817258,-0.936897229,-0.840756446,0.989969441,1.418128951,1.044415953,-0.358529237,-0.66401731,-0.712735654
-0.943723825,-0.93195489,-0.796536064,0.989969441,1.429465054,1.14042608,-0.184563302,-0.581210649,-0.736270252
-0.948690801,-0.937222389,-0.799554073,1.048203271,1.429465054,1.137225742,-0.210387935,-0.564425515,-0.657690326
-0.936295464,-0.94141686,-0.817268469,1.076096786,1.445335598,1.079619666,-0.21579309,-0.502880024,-0.720272793
-0.936711899,-0.937547539,-0.817924557,1.083437184,1.545093302,1.249237557,-0.061045486,-0.440215523,-0.722035224
-0.935837153,-0.941904597,-0.829734155,1.126500857,1.567765508,1.249237557,-0.241417532,-0.349575799,-0.710532076
-0.931712353,-0.930654286,-0.805590089,1.086373344,1.547360523,1.172429455,-0.191169603,-0.313767513,-0.759672504
-0.931928714,-0.920411941,-0.81136367,1.062394708,1.526955538,1.015612915,0.199002557,-0.342861746,-0.770690392
-0.93221952,-0.923468394,-0.808870533,1.016394876,1.481611126,0.974008527,0.408802673,-0.335028683,-0.790346134
-0.934776291,-0.922980657,-0.813069501,1.011990637,1.499748891,0.922803126,0.492282299,-0.398812192,-0.786468353
-0.929502224,-0.922167773,-0.818055775,1.029118234,1.429465054,0.942005151,0.360756845,-0.416716335,-0.789949102
-0.929981473,-0.925224214,-0.814906549,1.000245999,1.304767923,0.436351816,0.408802673,-0.637161096,-0.771087424
-0.924100202,-0.925549374,-0.801522339,1.020309755,1.284362938,0.429951141,0.273673782,-0.662898301,-0.732567854
-0.925228532,-0.927240173,-0.774753918,0.985075841,1.341043452,0.445952829,0.292691922,-0.732276855,-0.755441806
-0.921738853,-0.921810101,-0.764912587,0.9953524,1.066709765,0.426750804,0.163568759,-0.815083517,-0.66377276
-0.917867637,-0.908803957,-0.757039522,0.999756639,1.00549481,0.423550466,0.163368568,-0.779275231,-0.59546185
-0.911528055,-0.880157934,-0.766224764,1.017862956,0.998693148,0.362744053,-0.0386241,-0.779275231,-0.570429506
-0.905742169,-0.846244412,-0.77055495,1.057501109,1.00776203,0.305137976,0.01182402,-0.808369463,-0.597136049
-0.903048138,-0.845659132,-0.757958046,1.060926628,0.998693148,0.20912785,-0.013199849,-0.76920415,-0.590173475
-0.879076375,-0.822215561,-0.756777086,1.021288475,0.944279854,0.20912785,-0.023009206,-0.822916579,-0.586603423
-0.869868278,-0.823125987,-0.617161401,1.045756471,0.939745413,0.2475319,-0.183562347,-0.954959634,-0.593478841
-0.865478263,-0.776466448,-0.615061917,1.048203271,0.953348737,0.2475319,-0.20097896,-0.939293509,-0.607184495
-0.838458849,-0.768825319,-0.608763465,1.047224551,0.960150398,0.311538652,-0.546108157,-1.18995151,-0.600089574
-0.836337125,-0.775523502,-0.598659699,1.068756387,0.821849944,0.177124474,-0.704259008,-1.113858903,-0.565448861
-0.811834931,-0.795097737,-0.539480507,1.085883984,0.88533212,0.119518398,-0.691046405,-1.088121697,-0.556325749
-0.786211388,-0.78944007,-0.486599728,1.099586062,0.985089824,0.177124474,-0.769321066,-1.157500251,-0.545263745
-0.796692055,-0.791943743,-0.544204306,1.099096702,1.003227589,0.125919073,-0.863811194,-0.996362964,-0.563465857
