Date,Price,,Date
08/01/15,,,1/8/15
08/02/15,,,2/8/15
08/03/15,1089.82,,3/8/15
08/04/15,1080.69,,4/8/15
08/05/15,1081.62,,5/8/15
08/06/15,1080.27,,6/8/15
08/07/15,1085.7,,7/8/15
08/08/15,,,8/8/15
08/09/15,,,9/8/15
08/10/15,1089.86,,10/8/15
08/11/15,1099.27,,11/8/15
08/12/15,1108.19,,12/8/15
08/13/15,1117,,13/08/15
08/14/15,1110.23,,14/08/15
08/15/15,,,15/08/15
08/16/15,,,16/08/15
08/17/15,1111.76,,17/08/15
08/18/15,1113.7,,18/08/15
08/19/15,1113.74,,19/08/15
08/20/15,1131.64,,20/08/15
08/21/15,1154.07,,21/08/15
08/22/15,,,22/08/15
08/23/15,,,23/08/15
08/24/15,1154.4,,24/08/15
08/25/15,1147.98,,25/08/15
08/26/15,1132.79,,26/08/15
08/27/15,1121.99,,27/08/15
08/28/15,1125.51,,28/08/15
08/29/15,,,29/08/15
08/30/15,,,30/08/15
08/31/15,1128.38,,31/08/15
09/01/15,1134.9,,1/9/15
09/02/15,1135.69,,2/9/15
09/03/15,1128.03,,3/9/15
09/04/15,1120.18,,4/9/15
09/05/15,,,5/9/15
09/06/15,,,6/9/15
09/07/15,1117.61,,7/9/15
09/08/15,1116.12,,8/9/15
09/09/15,1118.03,,9/9/15
09/10/15,1102.2,,10/9/15
09/11/15,1105.91,,11/9/15
09/12/15,,,12/9/15
09/13/15,,,13/09/15
09/14/15,1102.33,,14/09/15
09/15/15,1102.53,,15/09/15
09/16/15,1101.81,,16/09/15
09/17/15,1115.29,,17/09/15
09/18/15,1125.41,,18/09/15
09/19/15,,,19/09/15
09/20/15,,,20/09/15
09/21/15,1133.36,,21/09/15
09/22/15,1129.32,,22/09/15
09/23/15,1119.95,,23/09/15
09/24/15,1129.29,,24/09/15
09/25/15,1143.27,,25/09/15
09/26/15,,,26/09/15
09/27/15,,,27/09/15
09/28/15,,,28/09/15
09/29/15,1125.1,,29/09/15
09/30/15,1120.48,,30/09/15
10/01/15,1109.37,,1/10/15
10/02/15,1106.21,,2/10/15
10/03/15,,,3/10/15
10/04/15,,,4/10/15
10/05/15,1131.43,,5/10/15
10/06/15,1131.94,,6/10/15
10/07/15,1143.71,,7/10/15
10/08/15,1139.32,,8/10/15
10/09/15,1140.51,,9/10/15
10/10/15,,,10/10/15
10/11/15,,,11/10/15
10/12/15,1155.97,,12/10/15
10/13/15,1152.44,,13/10/15
10/14/15,1167.51,,14/10/15
10/15/15,1179.25,,15/10/15
10/16/15,1174.12,,16/10/15
10/17/15,,,17/10/15
10/18/15,,,18/10/15
10/19/15,1169.35,,19/10/15
10/20/15,1166.89,,20/10/15
10/21/15,1171.95,,21/10/15
10/22/15,1162.38,,22/10/15
10/23/15,1165.13,,23/10/15
10/24/15,,,24/10/15
10/25/15,,,25/10/15
10/26/15,1160,,26/10/15
10/27/15,1160.16,,27/10/15
10/28/15,1163.68,,28/10/15
10/29/15,1155.13,,29/10/15
10/30/15,1143.06,,30/10/15
10/31/15,,,31/10/15
11/01/15,,,1/11/15
11/02/15,1136.22,,2/11/15
11/03/15,1131.18,,3/11/15
11/04/15,1115.91,,4/11/15
11/05/15,1104.97,,5/11/15
11/06/15,1103.81,,6/11/15
11/07/15,,,7/11/15
11/08/15,,,8/11/15
11/09/15,1087.85,,9/11/15
11/10/15,1088.24,,10/11/15
11/11/15,1086.63,,11/11/15
11/12/15,1083.42,,12/11/15
11/13/15,1079.31,,13/11/15
11/14/15,,,14/11/15
11/15/15,,,15/11/15
11/16/15,1087.69,,16/11/15
11/17/15,1078.54,,17/11/15
11/18/15,1065.74,,18/11/15
11/19/15,1071.4,,19/11/15
11/20/15,1078.26,,20/11/15
11/21/15,,,21/11/15
11/22/15,,,22/11/15
11/23/15,1067.53,,23/11/15
11/24/15,1067.43,,24/11/15
11/25/15,1072.86,,25/11/15
11/26/15,1067.85,,26/11/15
11/27/15,1064.6,,27/11/15
11/28/15,,,28/11/15
11/29/15,,,29/11/15
11/30/15,1051.97,,30/11/15
12/01/15,1065.46,,1/12/15
12/02/15,1064.27,,2/12/15
12/03/15,1047.09,,3/12/15
12/04/15,1057.34,,4/12/15
12/05/15,,,5/12/15
12/06/15,,,6/12/15
12/07/15,1080.58,,7/12/15
12/08/15,1068.16,,8/12/15
12/09/15,1072.62,,9/12/15
12/10/15,1069.65,,10/12/15
12/11/15,1065.1,,11/12/15
12/12/15,,,12/12/15
12/13/15,,,13/12/15
12/14/15,1069.01,,14/12/15
12/15/15,1058.97,,15/12/15
12/16/15,1059.76,,16/12/15
12/17/15,1063.94,,17/12/15
12/18/15,1049.8,,18/12/15
12/19/15,,,19/12/15
12/20/15,,,20/12/15
12/21/15,1064.78,,21/12/15
12/22/15,1073.86,,22/12/15
12/23/15,1069.51,,23/12/15
12/24/15,1068.8,,24/12/15
12/25/15,,,25/12/15
12/26/15,,,26/12/15
12/27/15,,,27/12/15
12/28/15,,,28/12/15
12/29/15,1067.27,,29/12/15
12/30/15,1065.57,,30/12/15
12/31/15,1057.65,,31/12/15
01/04/16,1061.56,,4/1/16
01/05/16,1072.13,,5/1/16
01/06/16,1075.24,,6/1/16
01/07/16,1092.88,,7/1/16
01/08/16,1100.06,,8/1/16
01/09/16,,,9/1/16
01/10/16,,,10/1/16
01/11/16,1100.51,,11/1/16
01/12/16,1092.06,,12/1/16
01/13/16,1080.06,,13/01/16
01/14/16,1088.2,,14/01/16
01/15/16,1075.87,,15/01/16
01/16/16,,,16/01/16
01/17/16,,,17/01/16
01/18/16,1086.59,,18/01/16
01/19/16,1084.79,,19/01/16
01/20/16,1087.22,,20/01/16
01/21/16,1096.7,,21/01/16
01/22/16,1094.51,,22/01/16
01/23/16,,,23/01/16
01/24/16,,,24/01/16
01/25/16,1097.1,,25/01/16
01/26/16,,,26/01/16
01/27/16,1115.29,,27/01/16
01/28/16,1116.01,,28/01/16
01/29/16,1109.59,,29/01/16
01/30/16,,,30/01/16
01/31/16,,,31/01/16
02/01/16,1116.19,,1/2/16
02/02/16,1122.37,,2/2/16
02/03/16,1123.05,,3/2/16
02/04/16,1137.52,,4/2/16
02/05/16,1151.4,,5/2/16
02/06/16,,,6/2/16
02/07/16,,,7/2/16
02/08/16,1162.29,,8/2/16
02/09/16,1187.24,,9/2/16
02/10/16,1185.81,,10/2/16
02/11/16,1204.69,,11/2/16
02/12/16,1234.35,,12/2/16
02/13/16,,,13/02/16
02/14/16,,,14/02/16
02/15/16,1216.09,,15/02/16
02/16/16,1194.95,,16/02/16
02/17/16,1199.43,,17/02/16
02/18/16,1203.15,,18/02/16
02/19/16,1222.39,,19/02/16
02/20/16,,,20/02/16
02/21/16,,,21/02/16
02/22/16,1211.2,,22/02/16
02/23/16,1212.71,,23/02/16
02/24/16,1223.31,,24/02/16
02/25/16,1229.97,,25/02/16
02/26/16,1232.09,,26/02/16
02/27/16,,,27/02/16
02/28/16,,,28/02/16
02/29/16,1221.6,,29/02/16
03/01/16,1238.11,,1/3/16
03/02/16,1224.05,,2/3/16
03/03/16,1235.45,,3/3/16
03/04/16,1258.32,,4/3/16
03/05/16,,,5/3/16
03/06/16,,,6/3/16
03/07/16,,,7/3/16
03/08/16,1266.1,,8/3/16
03/09/16,1253.45,,9/3/16
03/10/16,1244.86,,10/3/16
03/11/16,1268.25,,11/3/16
03/12/16,,,12/3/16
03/13/16,,,13/03/16
03/14/16,1249.83,,14/03/16
03/15/16,1226.23,,15/03/16
03/16/16,1227.93,,16/03/16
03/17/16,1254.28,,17/03/16
03/18/16,1257.27,,18/03/16
03/19/16,,,19/03/16
03/20/16,,,20/03/16
03/21/16,1244.63,,21/03/16
03/22/16,1245.9,,22/03/16
03/23/16,1235.58,,23/03/16
03/24/16,1214.12,,24/03/16
03/25/16,,,25/03/16
03/26/16,,,26/03/16
03/27/16,,,27/03/16
03/28/16,,,28/03/16
03/29/16,1214.55,,29/03/16
03/30/16,1234.87,,30/03/16
03/31/16,1224.79,,31/03/16
04/01/16,1227.8,,1/4/16
04/02/16,,,2/4/16
04/03/16,,,3/4/16
04/04/16,1213.57,,4/4/16
04/05/16,1221.41,,5/4/16
04/06/16,1224.48,,6/4/16
04/07/16,1222.15,,7/4/16
04/08/16,1231.88,,8/4/16
04/09/16,,,9/4/16
04/10/16,,,10/4/16
04/11/16,1244.87,,11/4/16
04/12/16,1252.44,,12/4/16
04/13/16,1246.79,,13/04/16
04/14/16,1230.47,,14/04/16
04/15/16,1224.38,,15/04/16
04/16/16,,,16/04/16
04/17/16,,,17/04/16
04/18/16,1231.22,,18/04/16
04/19/16,1229.72,,19/04/16
04/20/16,1245.86,,20/04/16
04/21/16,1247.2,,21/04/16
04/22/16,1243.58,,22/04/16
04/23/16,,,23/04/16
04/24/16,,,24/04/16
04/25/16,,,25/04/16
04/26/16,1232.1,,26/04/16
04/27/16,1240.93,,27/04/16
04/28/16,1243.15,,28/04/16
04/29/16,1268.98,,29/04/16
04/30/16,,,30/04/16
05/01/16,,,1/5/16
05/02/16,1289.99,,2/5/16
05/03/16,1289.91,,3/5/16
05/04/16,1277.99,,4/5/16
05/05/16,1275.16,,5/5/16
05/06/16,1273.83,,6/5/16
05/07/16,,,7/5/16
05/08/16,,,8/5/16
05/09/16,1278.73,,9/5/16
05/10/16,1260.2,,10/5/16
05/11/16,1265.88,,11/5/16
05/12/16,1269.09,,12/5/16
05/13/16,1266.14,,13/05/16
05/14/16,,,14/05/16
05/15/16,,,15/05/16
05/16/16,1273.94,,16/05/16
05/17/16,1271.52,,17/05/16
05/18/16,1270.38,,18/05/16
05/19/16,1252.7,,19/05/16
05/20/16,1251.09,,20/05/16
05/21/16,,,21/05/16
05/22/16,,,22/05/16
05/23/16,1248.83,,23/05/16
05/24/16,1241.61,,24/05/16
05/25/16,1221.69,,25/05/16
05/26/16,1225.06,,26/05/16
05/27/16,1214.63,,27/05/16
05/28/16,,,28/05/16
05/29/16,,,29/05/16
05/30/16,1199.39,,30/05/16
05/31/16,1207.66,,31/05/16
06/01/16,1212.19,,1/6/16
06/02/16,1209.81,,2/6/16
06/03/16,1206.14,,3/6/16
06/04/16,,,4/6/16
06/05/16,,,5/6/16
06/06/16,,,6/6/16
06/07/16,1239.41,,7/6/16
06/08/16,1244.13,,8/6/16
06/09/16,1257.2,,9/6/16
06/10/16,1262.7,,10/6/16
06/11/16,,,11/6/16
06/12/16,,,12/6/16
06/13/16,1274.7,,13/06/16
06/14/16,1276.17,,14/06/16
06/15/16,1279.53,,15/06/16
06/16/16,1299.31,,16/06/16
06/17/16,1278.56,,17/06/16
06/18/16,,,18/06/16
06/19/16,,,19/06/16
06/20/16,1280.66,,20/06/16
06/21/16,1282,,21/06/16
06/22/16,1263.21,,22/06/16
06/23/16,1261.14,,23/06/16
06/24/16,1301.23,,24/06/16
06/25/16,,,25/06/16
06/26/16,,,26/06/16
06/27/16,1323.76,,27/06/16
06/28/16,1313.94,,28/06/16
06/29/16,1315.11,,29/06/16
06/30/16,1311.64,,30/06/16
07/01/16,1325.67,,1/7/16
07/02/16,,,2/7/16
07/03/16,,,3/7/16
07/04/16,1343.78,,4/7/16
07/05/16,1340.87,,5/7/16
07/06/16,1363.39,,6/7/16
07/07/16,1363.19,,7/7/16
07/08/16,1353.3,,8/7/16
07/09/16,,,9/7/16
07/10/16,,,10/7/16
07/11/16,1360.99,,11/7/16
07/12/16,1351.06,,12/7/16
07/13/16,1333.35,,13/07/16
07/14/16,1332.65,,14/07/16
07/15/16,1327.08,,15/07/16
07/16/16,,,16/07/16
07/17/16,,,17/07/16
07/18/16,1324.5,,18/07/16
07/19/16,1325.63,,19/07/16
07/20/16,1325.6,,20/07/16
07/21/16,1312.19,,21/07/16
07/22/16,1324.65,,22/07/16
07/23/16,,,23/07/16
07/24/16,,,24/07/16
07/25/16,1313.08,,25/07/16
07/26/16,1314.51,,26/07/16
07/27/16,1314.28,,27/07/16
07/28/16,1335.47,,28/07/16
07/29/16,1332.15,,29/07/16
07/30/16,,,30/07/16
07/31/16,,,31/07/16
08/01/16,1344.56,,1/8/16
08/02/16,1348.61,,2/8/16
08/03/16,1359.7,,3/8/16
08/04/16,1349.03,,4/8/16
08/05/16,1358.14,,5/8/16
08/06/16,,,6/8/16
08/07/16,,,7/8/16
08/08/16,1330.76,,8/8/16
08/09/16,1329.49,,9/8/16
08/10/16,1346.07,,10/8/16
08/11/16,1339.97,,11/8/16
08/12/16,1334.17,,12/8/16
08/13/16,,,13/08/16
08/14/16,,,14/08/16
08/15/16,1335.03,,15/08/16
08/16/16,1341.27,,16/08/16
08/17/16,1340.48,,17/08/16
08/18/16,1348.58,,18/08/16
08/19/16,1343.62,,19/08/16
08/20/16,,,20/08/16
08/21/16,,,21/08/16
08/22/16,1330.3,,22/08/16
08/23/16,1334.32,,23/08/16
08/24/16,1333.16,,24/08/16
08/25/16,1321.57,,25/08/16
08/26/16,1319.85,,26/08/16
08/27/16,,,27/08/16
08/28/16,,,28/08/16
08/29/16,1313.68,,29/08/16
08/30/16,1318.39,,30/08/16
08/31/16,1309.38,,31/08/16
09/01/16,1305.06,,1/9/16
09/02/16,1308.71,,2/9/16
09/03/16,,,3/9/16
09/04/16,,,4/9/16
09/05/16,1320.54,,5/9/16
09/06/16,1322.6,,6/9/16
09/07/16,1346.43,,7/9/16
09/08/16,1342.44,,8/9/16
09/09/16,1333.2,,9/9/16
09/10/16,,,10/9/16
09/11/16,,,11/9/16
09/12/16,1324.04,,12/9/16
09/13/16,1325.29,,13/09/16
09/14/16,1315.95,,14/09/16
09/15/16,1318.1,,15/09/16
09/16/16,1310.82,,16/09/16
09/17/16,,,17/09/16
09/18/16,,,18/09/16
09/19/16,1310.7,,19/09/16
09/20/16,1311.03,,20/09/16
09/21/16,1312.78,,21/09/16
09/22/16,1329.21,,22/09/16
09/23/16,1331.43,,23/09/16
09/24/16,,,24/09/16
09/25/16,,,25/09/16
09/26/16,,,26/09/16
09/27/16,1331.92,,27/09/16
09/28/16,1320.91,,28/09/16
09/29/16,1319.13,,29/09/16
09/30/16,1319.42,,30/09/16
10/01/16,,,1/10/16
10/02/16,,,2/10/16
10/03/16,1311.58,,3/10/16
10/04/16,1306.11,,4/10/16
10/05/16,1267.73,,5/10/16
10/06/16,1261.54,,6/10/16
10/07/16,1250.83,,7/10/16
10/08/16,,,8/10/16
10/09/16,,,9/10/16
10/10/16,1257.21,,10/10/16
10/11/16,1254.54,,11/10/16
10/12/16,1251.61,,12/10/16
10/13/16,1254.57,,13/10/16
10/14/16,1252.14,,14/10/16
10/15/16,,,15/10/16
10/16/16,,,16/10/16
10/17/16,1249.77,,17/10/16
10/18/16,1254.13,,18/10/16
10/19/16,1258.28,,19/10/16
10/20/16,1266.57,,20/10/16
10/21/16,1259.57,,21/10/16
10/22/16,,,22/10/16
10/23/16,,,23/10/16
10/24/16,1260.94,,24/10/16
10/25/16,1261.74,,25/10/16
10/26/16,1270.74,,26/10/16
10/27/16,1262.97,,27/10/16
10/28/16,1265.52,,28/10/16
10/29/16,,,29/10/16
10/30/16,,,30/10/16
10/31/16,1272.46,,31/10/16
11/01/16,1273.63,,1/11/16
11/02/16,1287.72,,2/11/16
11/03/16,1296.24,,3/11/16
11/04/16,1295.85,,4/11/16
11/05/16,,,5/11/16
11/06/16,,,6/11/16
11/07/16,1286.08,,7/11/16
11/08/16,1279.28,,8/11/16
11/09/16,1303.9,,9/11/16
11/10/16,1279.8,,10/11/16
11/11/16,1254.76,,11/11/16
11/12/16,,,12/11/16
11/13/16,,,13/11/16
11/14/16,1215.23,,14/11/16
11/15/16,1221.71,,15/11/16
11/16/16,1224.99,,16/11/16
11/17/16,1222.86,,17/11/16
11/18/16,1206.41,,18/11/16
11/19/16,,,19/11/16
11/20/16,,,20/11/16
11/21/16,1209.43,,21/11/16
11/22/16,1215.18,,22/11/16
11/23/16,1210.72,,23/11/16
11/24/16,1182.79,,24/11/16
11/25/16,1178.2,,25/11/16
11/26/16,,,26/11/16
11/27/16,,,27/11/16
11/28/16,1190.77,,28/11/16
11/29/16,1189.32,,29/11/16
11/30/16,1187.43,,30/11/16
12/01/16,1168.93,,1/12/16
12/02/16,1171.65,,2/12/16
12/03/16,,,3/12/16
12/04/16,,,4/12/16
12/05/16,1173.18,,5/12/16
12/06/16,1169.59,,6/12/16
12/07/16,1166.09,,7/12/16
12/08/16,1173.73,,8/12/16
12/09/16,1165.55,,9/12/16
12/10/16,,,10/12/16
12/11/16,,,11/12/16
12/12/16,1153.87,,12/12/16
12/13/16,1159.36,,13/12/16
12/14/16,1157.95,,14/12/16
12/15/16,1138.12,,15/12/16
12/16/16,1127.88,,16/12/16
12/17/16,,,17/12/16
12/18/16,,,18/12/16
12/19/16,1136.07,,19/12/16
12/20/16,1134.36,,20/12/16
12/21/16,1132.06,,21/12/16
12/22/16,1128.49,,22/12/16
12/23/16,1127.93,,23/12/16
12/24/16,,,24/12/16
12/25/16,,,25/12/16
12/26/16,,,26/12/16
12/27/16,,,27/12/16
12/28/16,1139.08,,28/12/16
12/29/16,1144.99,,29/12/16
12/30/16,1157.55,,30/12/16
12/31/16,,,31/12/16
01/01/17,,,1/1/17
01/02/17,,,2/1/17
01/03/17,1151.76,,3/1/17
01/04/17,1157.14,,4/1/17
01/05/17,1170.32,,5/1/17
01/06/17,1175,,6/1/17
01/07/17,,,7/1/17
01/08/17,,,8/1/17
01/09/17,1172.23,,9/1/17
01/10/17,1181.61,,10/1/17
01/11/17,1185.46,,11/1/17
01/12/17,1195.07,,12/1/17
01/13/17,1191.44,,13/01/17
01/14/17,,,14/01/17
01/15/17,,,15/01/17
01/16/17,1200.36,,16/01/17
01/17/17,1205.35,,17/01/17
01/18/17,1211.06,,18/01/17
01/19/17,1199.32,,19/01/17
01/20/17,1203.53,,20/01/17
01/21/17,,,21/01/17
01/22/17,,,22/01/17
01/23/17,1213.21,,23/01/17
01/24/17,1213.33,,24/01/17
01/25/17,1203.72,,25/01/17
01/26/17,,,26/01/17
01/27/17,1182.53,,27/01/17
01/28/17,,,28/01/17
01/29/17,,,29/01/17
01/30/17,1190.43,,30/01/17
01/31/17,1196.24,,31/01/17
02/01/17,1207.12,,1/2/17
02/02/17,1211.26,,2/2/17
02/03/17,1211.06,,3/2/17
02/04/17,,,4/2/17
02/05/17,,,5/2/17
02/06/17,1220.55,,6/2/17
02/07/17,1230.09,,7/2/17
02/08/17,1230.88,,8/2/17
02/09/17,1237.86,,9/2/17
02/10/17,1221.84,,10/2/17
02/11/17,,,11/2/17
02/12/17,,,12/2/17
02/13/17,1227.53,,13/02/17
02/14/17,1224.78,,14/02/17
02/15/17,1223.54,,15/02/17
02/16/17,1231.52,,16/02/17
